Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-1.22,0.22,-0.572
-75,south,-1.23,0.54,-0.368
-60,south,-1.19,0.99,-0.347
-45,south,-1.18,1.14,-0.337
-30,south,-1.13,0.79,-0.226
-15,south,-0.82,0.78,-0.042
0,south,-0.13,0.59,0.001
15,south,0.19,-0.5,-0.008
30,south,-0.2,-1.07,-0.028
45,south,-0.63,-1.01,-0.069
60,south,-0.9,-0.87,-0.174
75,south,-1.08,-0.77,-0.564
90,south,-1.2,-1.01,0.052
-90,east,-1.22,0.21,0.546
-75,east,-1.08,0.74,0.931
-60,east,-0.88,1.44,1.323
-45,east,-0.73,2.03,2.002
-30,east,-0.5,2.28,2.244
-15,east,0.17,2.22,0.837
0,east,1.11,0.94,0.013
15,east,0.99,-1.16,-0.312
30,east,0.02,-1.66,-0.551
45,east,-0.67,-1.21,-0.867
60,east,-1.01,-0.74,-1.355
75,east,-1.16,-0.35,-2.223
90,east,-1.21,-0.39,-41.811
-90,north,-1.07,0.72,1.162
-75,north,-0.87,1.2,0.778
-60,north,-0.7,1.73,0.863
-45,north,-0.62,1.93,1.189
-30,north,-0.48,1.45,0.892
-15,north,-0.09,0.67,0.087
0,north,0.21,-0.52,-0.0
15,north,-0.27,-1.4,0.007
30,north,-0.93,-1.04,0.021
45,north,-1.22,-0.51,0.04
60,north,-1.3,-0.19,0.062
75,north,-1.28,-0.05,0.022
90,north,-1.22,-0.48,0.061
-90,west,-1.07,0.73,-1.158
-75,west,-0.9,1.2,-0.842
-60,west,-0.7,1.97,-0.734
-45,west,-0.58,2.64,-0.645
-30,west,-0.43,2.65,-0.533
-15,west,0.19,2.27,-0.277
0,west,1.11,0.94,0.016
15,west,1.0,-1.16,0.233
30,west,0.04,-1.68,0.433
45,west,-0.65,-1.26,0.736
60,west,-0.99,-0.81,1.264
75,west,-1.15,-0.46,2.562
90,west,-1.21,-0.39,41.808
