Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-1.66,0.34,-0.618
-75,south,-1.62,0.78,-0.395
-60,south,-1.45,1.29,-0.354
-45,south,-1.27,1.26,-0.329
-30,south,-1.03,0.69,-0.228
-15,south,-0.62,0.57,-0.033
0,south,-0.09,0.4,0.001
15,south,0.13,-0.37,-0.005
30,south,-0.19,-0.96,-0.025
45,south,-0.68,-1.11,-0.077
60,south,-1.11,-1.12,-0.229
75,south,-1.42,-1.11,-0.83
90,south,-1.63,-1.55,0.061
-90,east,-1.66,0.33,0.582
-75,east,-1.41,1.03,1.147
-60,east,-1.06,1.82,1.551
-45,east,-0.78,2.22,2.118
-30,east,-0.47,2.06,2.092
-15,east,0.11,1.67,0.649
0,east,0.75,0.66,0.01
15,east,0.74,-0.88,-0.236
30,east,0.01,-1.5,-0.501
45,east,-0.72,-1.32,-0.938
60,east,-1.23,-0.93,-1.661
75,east,-1.54,-0.48,-2.912
90,east,-1.64,-0.89,-54.325
-90,north,-1.45,1.03,1.734
-75,north,-1.14,1.66,1.123
-60,north,-0.84,2.21,1.133
-45,north,-0.66,2.13,1.322
-30,north,-0.44,1.29,0.786
-15,north,-0.07,0.49,0.062
0,north,0.14,-0.35,-0.0
15,north,-0.21,-1.05,0.005
30,north,-0.85,-0.94,0.019
45,north,-1.33,-0.56,0.042
60,north,-1.6,-0.28,0.058
75,north,-1.7,-0.16,-0.108
90,north,-1.66,-0.92,0.072
-90,west,-1.45,1.04,-1.729
-75,west,-1.18,1.65,-1.218
-60,west,-0.84,2.48,-0.987
-45,west,-0.62,2.89,-0.748
-30,west,-0.4,2.39,-0.431
-15,west,0.12,1.71,-0.193
0,west,0.75,0.66,0.012
15,west,0.74,-0.89,0.175
30,west,0.03,-1.53,0.393
45,west,-0.7,-1.37,0.8
60,west,-1.21,-1.01,1.591
75,west,-1.52,-0.63,3.69
90,west,-1.65,-0.89,54.322
