Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-1.79,0.54,-0.837
-75,south,-1.75,1.02,-0.342
-60,south,-1.74,1.74,-0.376
-45,south,-1.6,1.94,-0.483
-30,south,-1.53,1.3,-0.427
-15,south,-1.01,1.08,-0.136
0,south,-0.11,0.48,-0.017
15,south,0.09,-1.04,0.014
30,south,-0.63,-1.52,0.039
45,south,-1.24,-1.3,0.069
60,south,-1.57,-1.06,0.109
75,south,-1.75,-0.71,0.163
90,south,-1.82,-0.96,1.402
-90,east,-1.88,0.46,0.682
-75,east,-1.65,1.34,1.049
-60,east,-1.41,2.54,1.672
-45,east,-1.17,3.4,3.035
-30,east,-0.75,3.72,3.358
-15,east,0.29,3.38,1.017
0,east,1.8,1.6,0.008
15,east,1.7,-1.87,-0.26
30,east,0.12,-2.63,-0.478
45,east,-1.04,-1.92,-0.781
60,east,-1.63,-1.25,-1.187
75,east,-1.8,-0.57,-2.069
90,east,-1.9,-0.18,-9.233
-90,north,-1.68,0.92,0.682
-75,north,-1.39,1.54,0.58
-60,north,-1.26,2.22,0.655
-45,north,-1.1,2.6,0.848
-30,north,-0.96,1.86,0.495
-15,north,-0.43,0.98,-0.01
0,north,0.17,-0.42,0.017
15,north,-0.28,-1.79,0.057
30,north,-1.21,-1.5,0.09
45,north,-1.73,-0.93,0.141
60,north,-1.9,-0.51,0.232
75,north,-1.93,-0.25,0.444
90,north,-1.84,-0.48,1.636
-90,west,-1.72,0.87,-0.8
-75,west,-1.54,1.71,-0.241
-60,west,-1.19,2.78,0.199
-45,west,-1.04,3.66,0.942
-30,west,-0.71,3.8,1.157
-15,west,0.29,3.46,0.136
0,west,1.8,1.6,0.023
15,west,1.7,-1.87,0.126
30,west,0.12,-2.63,0.274
45,west,-1.02,-1.94,0.522
60,west,-1.61,-1.28,0.788
75,west,-1.79,-0.63,1.535
90,west,-1.91,-0.18,9.233
