Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-0.35,-0.14,-0.821
-75,south,-0.44,-0.05,-0.582
-60,south,-0.4,0.03,-0.575
-45,south,-0.39,-0.02,-0.626
-30,south,-0.33,0.01,-0.398
-15,south,-0.23,0.14,-0.047
0,south,-0.07,0.25,0.004
15,south,0.1,0.07,-0.01
30,south,0.12,-0.17,-0.023
45,south,0.02,-0.34,-0.052
60,south,-0.1,-0.4,-0.119
75,south,-0.22,-0.4,-0.332
90,south,-0.33,-0.56,0.048
-90,east,-0.35,-0.12,0.848
-75,east,-0.34,-0.0,0.834
-60,east,-0.26,0.22,0.967
-45,east,-0.19,0.29,1.284
-30,east,-0.1,0.33,1.049
-15,east,0.03,0.3,0.327
0,east,0.13,0.14,-0.0
15,east,0.16,-0.18,-0.141
30,east,0.01,-0.29,-0.305
45,east,-0.15,-0.19,-0.585
60,east,-0.23,-0.12,-1.078
75,east,-0.3,-0.01,-2.075
90,east,-0.31,-0.0,-10.098
-90,north,-0.2,0.34,0.842
-75,north,-0.14,0.46,0.613
-60,north,-0.03,0.57,0.603
-45,north,0.0,0.56,0.669
-30,north,0.04,0.34,0.414
-15,north,0.12,0.07,0.051
0,north,0.08,-0.24,-0.004
15,north,-0.11,-0.37,0.011
30,north,-0.3,-0.16,0.025
45,north,-0.39,0.01,0.056
60,north,-0.41,0.12,0.133
75,north,-0.39,0.18,0.38
90,north,-0.35,-0.0,0.074
-90,west,-0.2,0.34,-0.8
-75,west,-0.2,0.45,-0.681
-60,west,-0.1,0.63,-0.626
-45,west,-0.08,0.67,-0.738
-30,west,-0.06,0.51,-0.6
-15,west,0.04,0.32,-0.229
0,west,0.14,0.14,0.007
15,west,0.16,-0.18,0.124
30,west,0.03,-0.31,0.283
45,west,-0.14,-0.23,0.551
60,west,-0.21,-0.16,1.028
75,west,-0.29,-0.11,1.945
90,west,-0.31,-0.0,10.099
