Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,2.95,39.56,-97.248
-75,south,2.93,40.56,-97.237
-60,south,2.84,41.72,-97.224
-45,south,2.64,43.3,-97.207
-30,south,2.24,46.02,-97.174
-15,south,1.43,53.29,-97.071
0,south,0.38,60.27,-14.651
15,south,1.52,-25.95,8.103
30,south,2.31,-33.14,11.522
45,south,2.65,-35.84,11.688
60,south,2.84,-37.41,11.79
75,south,2.93,-38.56,11.867
90,south,2.95,-39.56,11.937
-90,east,2.95,39.53,101.935
-75,east,2.95,38.59,50.327
-60,east,2.95,36.46,27.76
-45,east,2.95,36.55,17.479
-30,east,2.94,29.71,9.761
-15,east,2.93,17.05,3.438
0,east,2.93,0.76,0.143
15,east,2.93,-18.83,-3.812
30,east,2.94,-28.9,-10.535
45,east,2.95,-34.29,-15.994
60,east,2.95,-39.67,-22.847
75,east,2.95,-39.4,-39.779
90,east,2.95,-39.53,-78.065
-90,north,2.95,39.53,-11.935
-75,north,2.93,38.53,-11.87
-60,north,2.84,37.37,-11.797
-45,north,2.65,35.8,-11.701
-30,north,2.31,33.1,-11.544
-15,north,1.52,25.91,-8.249
0,north,0.38,-60.38,14.966
15,north,1.43,-53.26,97.197
30,north,2.24,-45.98,97.229
45,north,2.64,-43.26,97.239
60,north,2.84,-41.69,97.245
75,north,2.93,-40.53,97.249
90,north,2.95,-39.53,97.252
-90,west,2.95,39.56,-101.937
-75,west,2.95,38.62,-50.328
-60,west,2.95,36.49,-27.76
-45,west,2.95,36.58,-17.45
-30,west,2.94,29.74,-9.76
-15,west,2.93,17.06,-3.437
0,west,2.93,0.76,-0.143
15,west,2.93,-18.85,3.81
30,west,2.94,-28.92,10.534
45,west,2.95,-34.31,15.993
60,west,2.95,-39.7,22.846
75,west,2.95,-39.43,39.706
90,west,2.95,-39.56,78.063
