Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,4.05,39.56,-97.248
-75,south,3.91,40.56,-97.237
-60,south,3.51,41.72,-97.224
-45,south,2.87,43.3,-97.207
-30,south,2.03,46.02,-97.174
-15,south,1.07,53.29,-97.071
0,south,0.26,60.27,-14.651
15,south,1.15,-25.95,8.103
30,south,2.1,-33.14,11.522
45,south,2.87,-35.84,11.688
60,south,3.51,-37.41,11.79
75,south,3.92,-38.56,11.867
90,south,4.05,-39.56,11.937
-90,east,4.05,39.53,101.935
-75,east,3.95,38.59,50.327
-60,east,3.65,36.46,27.76
-45,east,3.2,36.55,17.479
-30,east,2.67,29.71,9.761
-15,east,2.21,17.05,3.438
0,east,2.01,0.76,0.143
15,east,2.21,-18.83,-3.812
30,east,2.67,-28.9,-10.535
45,east,3.2,-34.29,-15.994
60,east,3.65,-39.67,-22.847
75,east,3.95,-39.4,-39.779
90,east,4.05,-39.53,-78.065
-90,north,4.05,39.53,-11.935
-75,north,3.91,38.53,-11.87
-60,north,3.51,37.37,-11.797
-45,north,2.87,35.8,-11.701
-30,north,2.1,33.1,-11.544
-15,north,1.15,25.91,-8.249
0,north,0.26,-60.38,14.966
15,north,1.07,-53.26,97.197
30,north,2.03,-45.98,97.229
45,north,2.87,-43.26,97.239
60,north,3.51,-41.69,97.245
75,north,3.91,-40.53,97.249
90,north,4.05,-39.53,97.252
-90,west,4.05,39.56,-101.937
-75,west,3.95,38.62,-50.328
-60,west,3.65,36.49,-27.76
-45,west,3.2,36.58,-17.45
-30,west,2.67,29.74,-9.76
-15,west,2.21,17.06,-3.437
0,west,2.01,0.76,-0.143
15,west,2.21,-18.85,3.81
30,west,2.67,-28.92,10.534
45,west,3.2,-34.31,15.993
60,west,3.65,-39.7,22.846
75,west,3.95,-39.43,39.706
90,west,4.05,-39.56,78.063
