Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-4.78,1.96,0.396
-75,south,-4.32,2.88,0.168
-60,south,-3.66,4.68,0.135
-45,south,-3.22,4.36,0.079
-30,south,-2.54,2.45,-0.104
-15,south,-1.3,1.52,0.023
0,south,-0.04,0.52,-0.028
15,south,0.07,-1.61,-0.156
30,south,-1.17,-2.58,-0.312
45,south,-2.59,-2.6,-0.583
60,south,-3.69,-2.12,-1.046
75,south,-4.43,-1.92,-1.934
90,south,-4.75,-1.98,-3.052
-90,east,-4.61,1.51,1.245
-75,east,-4.04,4.23,2.4
-60,east,-3.33,5.94,2.978
-45,east,-2.29,6.78,4.943
-30,east,-1.19,6.47,4.608
-15,east,0.6,4.39,0.94
0,east,2.0,2.03,0.072
15,east,2.19,-2.56,-0.13
30,east,0.02,-4.42,-0.527
45,east,-2.4,-4.22,-0.858
60,east,-4.04,-3.5,-2.271
75,east,-4.47,-1.68,-3.934
90,east,-4.85,-1.1,-16.234
-90,north,-4.61,2.25,0.965
-75,north,-3.91,3.91,0.378
-60,north,-3.11,5.86,0.438
-45,north,-2.64,5.44,0.499
-30,north,-1.93,2.93,0.585
-15,north,-0.72,1.51,0.293
0,north,0.22,-0.35,0.026
15,north,-0.28,-2.41,-0.012
30,north,-1.91,-2.61,-0.007
45,north,-3.34,-1.79,-0.014
60,north,-4.27,-1.02,0.136
75,north,-4.76,-0.8,0.329
90,north,-4.78,-0.74,-9.22
-90,west,-4.22,2.44,0.394
-75,west,-3.94,4.31,-0.291
-60,west,-3.06,7.32,1.387
-45,west,-2.3,7.84,2.13
-30,west,-1.19,6.32,2.313
-15,west,0.58,4.4,0.612
0,west,2.01,2.04,0.025
15,west,2.18,-2.56,0.072
30,west,0.01,-4.42,0.188
45,west,-2.32,-4.22,0.556
60,west,-4.03,-3.47,1.527
75,west,-4.46,-2.08,2.172
90,west,-4.86,-1.09,16.222
