Latitude,Flank,Intensity_Median_Dif,Inclination_Median_Dif,Declination_Median_Dif
-90,south,-2.43,0.76,-1.148
-75,south,-2.31,1.43,-0.458
-60,south,-2.13,2.21,-0.466
-45,south,-1.73,2.14,-0.525
-30,south,-1.39,1.16,-0.388
-15,south,-0.76,0.8,-0.102
0,south,-0.07,0.33,-0.012
15,south,0.06,-0.78,0.011
30,south,-0.58,-1.38,0.036
45,south,-1.34,-1.42,0.075
60,south,-1.93,-1.37,0.135
75,south,-2.32,-0.98,0.217
90,south,-2.48,-1.54,1.873
-90,east,-2.55,0.65,0.936
-75,east,-2.17,1.81,1.424
-60,east,-1.7,3.22,2.051
-45,east,-1.25,3.73,3.27
-30,east,-0.7,3.34,3.089
-15,east,0.18,2.58,0.793
0,east,1.21,1.13,0.006
15,east,1.26,-1.43,-0.199
30,east,0.09,-2.37,-0.437
45,east,-1.13,-2.09,-0.85
60,east,-2.0,-1.57,-1.432
75,east,-2.39,-0.78,-2.648
90,east,-2.59,-0.26,-12.558
-90,north,-2.27,1.29,0.936
-75,north,-1.83,2.06,0.775
-60,north,-1.53,2.83,0.81
-45,north,-1.18,2.85,0.92
-30,north,-0.88,1.67,0.452
-15,north,-0.33,0.72,-0.007
0,north,0.11,-0.29,0.012
15,north,-0.22,-1.34,0.043
30,north,-1.1,-1.35,0.081
45,north,-1.87,-1.02,0.153
60,north,-2.33,-0.67,0.287
75,north,-2.55,-0.39,0.597
90,north,-2.5,-0.91,2.318
-90,west,-2.34,1.22,-1.08
-75,west,-2.02,2.36,-0.321
-60,west,-1.45,3.53,0.241
-45,west,-1.12,4.01,1.018
-30,west,-0.66,3.41,1.067
-15,west,0.18,2.64,0.101
0,west,1.21,1.13,0.016
15,west,1.26,-1.44,0.097
30,west,0.1,-2.38,0.25
45,west,-1.1,-2.11,0.561
60,west,-1.98,-1.61,0.985
75,west,-2.37,-0.84,1.922
90,west,-2.59,-0.26,12.558
