Statistic,IGRF,siB0,Field Data,siB0 Difference from IGRF,Field Data Difference from IGRF
Intensity Median,,44.75191,43.61254,-0.44957000000000136,-1.588940000000001
Intensity Mean,,44.76470741496599,43.85125170068027,-0.4367725850340136,-1.3502282993197312
Intensity Standard Deviation,,1.3069317330843941,2.1806746986263406,,
Intensity Mean from IGRF,,1.0966614285714298,2.208111564625852,,
Inclination Median,,52.94953,53.044,-0.5777099999999962,-0.4832400000000021
Inclination Mean,,53.26156231292517,53.69233571428572,-0.2656776870748203,0.16509571428572656
Inclination Standard Deviation,,1.345103309907422,3.0753155563271477,,
Inclination Mean from IGRF,,1.1371111564625849,2.2973154421768704,,
Declination Median,,2.406227,0.712387,-0.928328,-2.622168
Declination Mean,,2.1992137334693878,0.362675197095238,-1.1353412665306126,-2.9718798029047626
Declination Standard Deviation,,1.1391957341727037,2.7489031344898027,,
Declination Mean from IGRF,,1.216663184897959,3.2154340341972785,,
IGRF Mean Intensity,45.201480000000004,,,,
IGRF Mean Inclination,53.52723999999999,,,,
IGRF Mean Declination,3.3345550000000004,,,,
