Site,Path,Int model,Int field,Int IGRF,Int median dif IGRF model,Int median dif IGRF field,Int min model,Int max model,Int min field,Int max field,Inc model,Inc field,Inc IGRF,Inc median dif IGRF model,Inc median dif IGRF field,Inc min model,Inc max model,Inc min field,Inc max field,Dec model,Dec field,Dec IGRF,Dec median dif IGRF model,Dec median dif IGRF field,Dec min model,Dec max model,Dec min field,Dec max field
FLUX1,path 1,45.08 ± 0.89,44.62 ± 1.62,45.15,-0.07,-0.53,43.64,46.97,41.23,47.46,52.26 ± 0.89,53.08 ± 1.66,53.38,-1.13,-0.3,50.21,53.98,50.48,58.78,2.19 ± 1.05,0.03 ± 2.37,3.32,-1.13,-3.3,0.75,4.6,-6.65,5.01
,path 2,45.01 ± 0.82,44.56 ± 1.68,45.15,-0.15,-0.59,44.15,47.24,41.64,49.07,52.66 ± 0.92,54.43 ± 1.96,53.38,-0.72,1.04,51.52,54.62,50.28,57.5,2.51 ± 1.0,0.76 ± 1.74,3.32,-0.81,-2.56,0.72,4.7,-2.14,4.97
,path 3,45.69 ± 0.67,45.28 ± 1.32,45.15,0.53,0.13,44.63,46.69,42.79,48.8,52.74 ± 0.53,54.49 ± 1.34,53.38,-0.64,1.1,51.86,53.9,50.59,58.1,2.46 ± 1.33,0.83 ± 2.23,3.32,-0.86,-2.49,0.56,5.42,-2.52,5.31
FLUX2,path 1,45.96 ± 0.28,44.24 ± 1.54,45.15,0.81,-0.91,45.31,46.39,40.09,46.69,52.82 ± 0.65,53.27 ± 1.73,53.39,-0.57,-0.12,51.48,53.98,49.04,56.5,3.52 ± 0.87,0.87 ± 3.96,3.32,0.21,-2.45,1.36,4.84,-9.87,8.56
,path 2,45.83 ± 0.46,43.64 ± 1.37,45.15,0.68,-1.52,44.81,46.77,40.82,46.84,52.52 ± 0.27,52.82 ± 1.39,53.39,-0.87,-0.57,52.11,53.29,49.18,55.36,3.12 ± 0.82,1.58 ± 3.75,3.32,-0.2,-1.74,1.49,5.53,-7.2,6.78
,path 3,46.18 ± 0.54,44.25 ± 1.83,45.15,1.03,-0.9,45.29,47.58,40.52,49.03,52.8 ± 0.41,52.39 ± 1.89,53.39,-0.59,-1,52.09,53.62,47.44,55.25,3.25 ± 1.08,0.33 ± 3.76,3.32,-0.07,-2.98,1.07,4.97,-7.52,7.86
FLUX3,path 1,44.1 ± 0.39,44.25 ± 1.22,45.24,-1.14,-0.99,43.44,45.62,41.22,46.09,53.89 ± 0.56,53.84 ± 1.79,53.59,0.3,0.25,53.21,55.36,49.4,56.63,2.16 ± 1.25,-0.87 ± 2.3,3.34,-1.18,-4.21,0.47,4.25,-3.99,5.25
,path 2,43.96 ± 0.33,44.34 ± 1.28,45.24,-1.28,-0.89,43.3,44.51,42.14,47.92,53.92 ± 0.95,52.06 ± 2.56,53.59,0.33,-1.54,51.43,54.35,46.99,58.7,2.2 ± 1.08,0.13 ± 3.41,3.34,-1.14,-3.21,0.97,3.96,-6.51,5.38
,path 3,44.14 ± 0.49,44.59 ± 1.39,45.24,-1.1,-0.65,43.39,45.45,41.96,47.2,52.71 ± 0.7,52.7 ± 2.44,53.59,-0.88,-0.89,51.15,53.74,47.13,57.5,0.56 ± 1.45,-1.45 ± 3.39,3.34,-2.79,-4.79,-0.65,4.35,-8.96,6
FLUX4,path 1,45.28 ± 0.76,43.68 ± 2.46,45.2,0.08,-1.52,43.85,46.7,38.27,48.27,53.03 ± 0.96,52.38 ± 3.35,53.53,-0.49,-1.15,51.63,55.46,45.38,59.51,1.99 ± 1.04,-1.21 ± 2.69,3.33,-1.34,-4.54,0.1,3.98,-6.91,1.66
FLUX5,path 1,46.0 ± 0.57,43.28 ± 1.99,45.15,0.84,-1.87,45.29,47.21,39,48.22,51.88 ± 0.43,51.62 ± 1.61,53.39,-1.51,-1.77,51.41,52.78,48.7,54.56,3.6 ± 1.01,1.75 ± 4.36,3.32,0.28,-1.57,1.7,5.17,-7,10.71
,path 2,45.51 ± 0.76,43.41 ± 2.13,45.15,0.36,-1.74,44.57,47.19,39.85,48.18,52.35 ± 0.62,52.15 ± 2.68,53.39,-1.04,-1.24,51.44,53.4,47.13,56.92,2.85 ± 1.94,0.37 ± 5.51,3.32,-0.46,-2.95,0.13,5.57,-5.93,18.02
,path 3,46.02 ± 1.1,44.89 ± 2.82,45.15,0.87,-0.26,43.15,46.79,38.35,47.92,52.92 ± 0.73,52.44 ± 2.55,53.39,-0.47,-0.95,51.36,53.78,45.71,56.4,1.27 ± 2.4,-0.02 ± 5.97,3.32,-2.04,-3.33,-0.68,6.16,-10.83,8.4
FLUX6,path 1,44.75 ± 1.31,43.61 ± 2.19,45.2,-0.45,-1.59,42.35,48.23,39.77,49.18,52.95 ± 1.35,53.04 ± 3.09,53.53,-0.58,-0.48,51.01,57.03,47.02,65.69,2.41 ± 1.14,0.71 ± 2.76,3.33,-0.93,-2.62,-0.53,3.92,-12.75,8.03
