Site,Path,Int model,Int field,Int IGRF,Int median dif IGRF model,Int median dif IGRF field,Int min model,Int max model,Int min field,Int max field,Inc model,Inc field,Inc IGRF,Inc median dif IGRF model,Inc median dif IGRF field,Inc min model,Inc max model,Inc min field,Inc max field,Dec model,Dec field,Dec IGRF,Dec median dif IGRF model,Dec median dif IGRF field,Dec min model,Dec max model,Dec min field,Dec max field
FLUX1,path 1,45.08 ± 0.88,44.62 ± 1.6,45.15,-0.07054999999999723,-0.5306799999999967,43.642720000000004,46.96944,41.22763,47.46066,52.26 ± 0.88,53.08 ± 1.64,53.38,-1.1286600000000035,-0.300690000000003,50.20967,53.98413,50.48128,58.78437,2.19 ± 1.04,0.03 ± 2.33,3.32,-1.1346289999999999,-3.2952662999999998,0.7529175,4.599054,-6.645001,5.013835
,path 2,45.01 ± 0.81,44.56 ± 1.65,45.15,-0.14893,-0.5929700000000011,44.14669,47.241679999999995,41.63914,49.07085,52.66 ± 0.91,54.43 ± 1.92,53.38,-0.7195000000000036,1.0429099999999991,51.52151,54.62035,50.28417,57.4971,2.51 ± 0.98,0.5 ± 1.67,3.32,-0.8131170000000001,-2.8184103499999997,0.7196218,4.697721,-2.138726,4.967902
,path 3,45.69 ± 0.66,45.28 ± 1.3,45.15,0.5344100000000083,0.12636500000000694,44.62529,46.69422,42.78869,48.80195,52.74 ± 0.52,54.49 ± 1.33,53.38,-0.6444599999999951,1.1012249999999995,51.85694,53.89886,50.59481,58.0951,2.46 ± 1.31,0.83 ± 2.19,3.32,-0.8643855,-2.49312945,0.5625251,5.42024,-2.519317,5.305554
FLUX2,path 1,45.96 ± 0.28,44.24 ± 1.51,45.15,0.8076149999999984,-0.909320000000001,45.312039999999996,46.39095,40.08962,46.68547,52.82 ± 0.63,53.27 ± 1.7,53.39,-0.5720850000000013,-0.11621999999999844,51.47723,53.9827,49.04416,56.49994,3.52 ± 0.85,0.87 ± 3.89,3.32,0.20633399999999957,-2.4476932500000004,1.357561,4.835094,-9.868345,8.55568
,path 2,45.83 ± 0.45,43.64 ± 1.35,45.15,0.6804399999999973,-1.515279999999997,44.80827,46.77364,40.82435,46.83507,52.52 ± 0.27,52.82 ± 1.37,53.39,-0.873739999999998,-0.5688200000000023,52.11159,53.29055,49.18124,55.35541,3.12 ± 0.81,1.94 ± 3.36,3.32,-0.20028100000000038,-1.3732155000000001,1.489085,5.533341,-5.578387,6.776877
,path 3,46.18 ± 0.53,44.25 ± 1.8,45.15,1.0342250000000064,-0.8972399999999965,45.28727,47.58177,40.52113,49.02706,52.8 ± 0.4,52.39 ± 1.87,53.39,-0.5929550000000035,-0.995635,52.08729,53.62327,47.43969,55.24835,3.25 ± 1.06,0.33 ± 3.7,3.32,-0.06553900000000024,-2.9826227000000003,1.067449,4.971669,-7.51532,7.860689
FLUX3,path 1,44.1 ± 0.39,44.25 ± 1.2,45.24,-1.1383199999999931,-0.9905199999999965,43.43804,45.61936,41.21695,46.09239,53.89 ± 0.55,53.84 ± 1.76,53.59,0.2978700000000032,0.2530100000000033,53.21427,55.36175,49.39828,56.6287,2.16 ± 1.23,-0.87 ± 2.27,3.34,-1.1776199999999997,-4.20845375,0.4748246,4.245193,-3.991729,5.253358
,path 2,43.96 ± 0.33,44.34 ± 1.27,45.24,-1.2760299999999916,-0.8928999999999974,43.2954,44.50918,42.14333,47.91597,53.92 ± 0.94,52.06 ± 2.54,53.59,0.32760999999999996,-1.5344899999999981,51.42696,54.35073,46.99056,58.7022,2.2 ± 1.07,0.13 ± 3.37,3.34,-1.1439939999999997,-3.2109585999999997,0.9668405,3.959087,-6.506349,5.378347
,path 3,44.14 ± 0.48,44.59 ± 1.37,45.24,-1.0979049999999901,-0.6467699999999965,43.390499999999996,45.45153,41.95583,47.2037,52.71 ± 0.69,52.7 ± 2.41,53.59,-0.8771849999999972,-0.8889050000000012,51.15412,53.73952,47.12932,57.49848,0.56 ± 1.43,-1.45 ± 3.35,3.34,-2.78603275,-4.787565,-0.6456864,4.352448,-8.962869,5.996958
FLUX4,path 1,45.28 ± 0.76,43.68 ± 2.44,45.2,0.07546499999999412,-1.5224000000000046,43.85428,46.7017,38.26711,48.26684,53.03 ± 0.95,52.38 ± 3.32,53.53,-0.4923299999999955,-1.1458300000000037,51.62765,55.45649,45.37959,59.50935,1.99 ± 1.03,-1.21 ± 2.64,3.33,-1.342577,-4.5448319999999995,0.09671221,3.980204,-6.913643,1.659344
FLUX5,path 1,46.0 ± 0.56,43.28 ± 1.95,45.15,0.8445499999999981,-1.869384999999994,45.294850000000004,47.20839,39.00407,48.21794,51.88 ± 0.42,51.62 ± 1.58,53.39,-1.5096300000000014,-1.7685299999999984,51.41468,52.77581,48.70306,54.56049,3.6 ± 0.99,1.75 ± 4.28,3.32,0.28027599999999975,-1.571711,1.704879,5.168619,-7.000249,10.70749
,path 2,45.51 ± 0.75,43.41 ± 2.1,45.15,0.35978500000000224,-1.7363599999999977,44.5694,47.194109999999995,39.8502,48.17614,52.35 ± 0.61,52.15 ± 2.64,53.39,-1.0401449999999954,-1.2425149999999974,51.44155,53.39715,47.12525,56.91682,2.85 ± 1.91,0.37 ± 5.42,3.32,-0.46252600000000044,-2.94691745,0.1295169,5.56909,-5.931534,18.01658
,path 3,46.02 ± 1.08,44.89 ± 2.77,45.15,0.8712249999999955,-0.2604299999999995,43.147510000000004,46.786390000000004,38.35402,47.92318,52.92 ± 0.72,52.44 ± 2.5,53.39,-0.4659949999999924,-0.9461399999999998,51.35617,53.78099,45.71416,56.40355,1.27 ± 2.36,-0.02 ± 5.86,3.32,-2.0439001,-3.3345812500000003,-0.6816892,6.158546,-10.82666,8.40158
FLUX6,path 1,44.75 ± 1.31,43.61 ± 2.18,45.2,-0.44957000000000136,-1.588940000000001,42.34666,48.231030000000004,39.76962,49.17775,52.95 ± 1.35,53.04 ± 3.08,53.53,-0.5777099999999962,-0.4832400000000021,51.01178,57.03,47.01704,65.68666,2.41 ± 1.14,0.71 ± 2.75,3.33,-0.928328,-2.622168,-0.5297699,3.921599,-12.74586,8.034639
